total jobs	100	total machines	8	total factories	2
jobs weight
2	5	3	7	8	8	5	4	9	8	2	3	9	4	5	7	3	5	9	8	8	5	2	6	4	1	2	9	5	9	3	9	3	8	8	6	6	4	2	1	6	2	2	9	6	1	7	3	4	6	3	7	1	1	3	1	5	8	2	5	9	9	3	2	8	6	1	6	7	3	2	9	3	5	1	5	4	3	5	5	4	5	9	4	8	8	9	7	8	7	4	8	7	4	3	5	6	6	7	9	
machine setuptime	0
20	46	25	30	24	2	19	6	34	26	13	31	8	48	37	1	30	28	18	44	10	7	19	22	34	1	17	20	31	46	43	36	46	13	3	49	45	22	3	46	41	45	3	45	25	14	33	35	38	25	37	18	41	39	5	26	9	19	30	46	4	26	4	33	16	13	29	47	8	17	31	38	42	39	24	18	38	1	28	23	32	20	36	38	41	5	25	24	47	47	21	49	13	20	6	37	8	42	37	12	
25	16	20	40	3	15	7	34	49	19	32	39	10	12	48	11	37	11	29	46	44	1	1	26	1	36	46	49	3	35	5	45	14	39	36	37	15	22	4	23	8	44	34	27	24	15	37	25	4	47	29	29	26	9	23	15	41	28	20	19	39	21	42	15	3	37	17	27	28	26	12	37	27	48	38	7	14	24	3	23	22	20	48	14	31	14	48	18	15	44	44	2	30	44	4	46	6	49	29	48	
20	33	44	22	2	26	38	34	7	47	5	13	5	22	46	7	25	12	21	40	42	12	31	4	30	6	29	38	21	27	29	40	32	25	41	27	31	15	4	1	25	16	20	18	3	18	10	43	31	47	6	43	10	30	5	4	33	24	22	12	1	47	42	11	39	40	27	47	21	36	5	21	25	17	34	21	12	46	14	45	29	40	3	34	22	26	49	31	33	46	1	39	43	16	49	31	3	35	28	4	
6	2	17	12	45	49	16	26	6	49	4	15	42	30	40	32	38	38	12	7	46	20	9	28	8	44	8	19	48	18	11	37	5	2	13	44	15	20	41	41	47	28	8	10	38	2	41	2	2	23	10	10	15	5	4	36	8	26	15	20	34	7	6	36	36	11	7	12	40	40	4	24	3	25	44	11	12	5	47	5	12	23	5	47	10	21	14	22	13	46	10	49	44	30	16	38	27	38	6	30	
9	38	14	29	40	14	23	21	40	49	17	5	20	17	49	47	35	6	38	44	22	27	49	45	29	6	29	8	30	10	39	39	49	4	38	6	49	17	29	6	27	10	35	18	39	12	21	33	25	40	30	9	39	32	33	4	12	42	14	18	10	5	26	21	7	22	24	49	17	1	13	5	20	30	19	26	10	15	31	24	16	27	4	45	14	37	32	17	35	10	34	21	38	12	45	12	45	14	34	27	
16	45	7	40	6	20	40	28	44	7	4	36	2	2	2	9	9	25	48	40	44	15	13	43	22	22	6	42	46	36	8	8	24	49	6	14	12	37	19	45	11	9	12	44	45	10	15	11	27	28	15	9	24	35	2	23	29	18	40	40	6	35	39	47	15	32	35	41	34	33	33	35	25	17	6	34	27	1	41	1	10	6	47	17	30	48	2	37	19	9	17	49	38	7	26	36	3	40	47	47	
33	11	12	43	44	1	16	3	45	20	31	12	45	39	38	20	32	32	23	48	43	24	28	21	24	48	23	2	43	41	27	17	37	22	44	47	14	2	1	8	14	9	40	13	8	33	13	35	17	10	29	3	47	18	1	18	11	1	38	7	36	25	37	49	44	14	18	14	27	36	2	18	14	13	29	12	18	15	23	39	39	6	36	34	18	19	38	15	14	6	33	49	22	8	21	2	17	34	31	43	
15	44	37	13	45	20	14	49	39	36	3	21	22	41	19	13	33	27	24	45	18	4	27	16	33	27	3	42	35	29	31	26	3	37	7	33	23	22	14	3	25	22	14	31	4	35	4	44	14	18	24	7	20	33	42	26	45	45	33	1	47	43	23	32	8	4	38	29	31	5	3	36	22	21	3	41	8	22	20	24	39	30	6	38	31	5	37	27	46	45	20	18	19	18	24	40	1	41	13	21	
