total jobs	100	total machines	5	total factories	2
jobs weight
6	9	8	5	9	2	4	1	8	3	9	3	8	7	8	6	8	9	4	1	1	7	6	1	5	8	7	6	9	6	3	1	3	1	7	5	9	2	8	4	3	7	3	4	7	3	4	8	3	2	6	6	2	7	4	8	3	4	8	5	5	3	6	7	1	2	5	6	5	5	6	1	6	7	8	6	4	7	4	3	1	6	1	2	1	6	8	6	9	2	7	4	3	2	3	2	9	4	7	9	
machine setuptime	0
41	15	43	29	17	15	9	15	46	6	36	18	48	32	17	44	24	15	24	39	14	12	27	12	40	9	47	16	36	37	13	31	6	22	4	32	11	48	44	26	7	6	17	44	48	49	17	28	33	38	43	49	42	31	39	31	5	10	26	36	43	12	2	22	33	24	37	41	19	48	47	24	34	16	21	32	12	17	33	16	32	41	27	10	42	10	35	13	5	36	33	22	48	5	43	23	27	42	22	5	
27	46	13	14	4	1	43	37	14	5	43	10	2	19	20	16	14	46	12	44	16	2	5	49	12	27	47	42	44	48	24	18	43	4	46	16	39	30	13	8	49	12	37	28	19	27	8	10	25	14	33	30	9	29	17	37	14	18	33	10	35	23	42	15	1	11	13	20	11	28	46	32	37	18	13	10	13	18	8	20	21	18	18	44	5	44	26	46	13	44	31	22	3	48	16	22	6	38	40	31	
39	23	46	41	21	31	34	8	8	4	25	21	19	45	1	24	22	29	28	28	38	7	33	40	47	15	15	11	36	34	18	23	40	47	48	10	16	40	22	43	28	1	2	11	9	25	28	28	18	4	28	42	32	43	43	15	13	1	41	45	28	43	36	33	39	29	3	14	13	9	4	46	29	10	48	10	3	45	30	38	3	20	33	3	31	22	29	4	42	15	18	9	31	26	27	31	41	47	30	26	
48	40	47	33	13	17	33	4	2	25	20	18	26	29	22	17	37	46	12	8	5	41	36	27	31	39	22	48	1	48	40	40	22	20	43	7	32	19	22	5	10	43	7	29	38	21	16	11	21	1	23	22	7	43	34	23	46	13	11	46	21	14	26	16	43	14	35	37	23	1	3	47	10	36	16	32	44	18	30	31	29	32	11	38	10	26	43	43	25	40	4	36	7	12	22	37	47	49	27	38	
22	32	49	40	16	2	41	38	3	33	19	45	37	46	41	45	31	25	34	6	46	25	28	25	19	46	6	11	2	13	44	26	24	21	30	13	19	1	40	3	27	12	30	1	3	13	47	32	41	17	23	7	16	32	25	21	26	6	46	17	3	5	29	13	27	8	7	23	42	1	42	35	36	37	6	13	11	11	28	37	17	10	17	11	22	37	7	30	46	17	4	10	26	34	39	11	34	23	33	47	
38	35	39	38	3	27	25	21	28	29	2	45	37	2	15	8	31	27	1	6	7	39	32	16	27	21	2	29	5	28	3	37	39	45	44	15	4	35	15	41	1	21	4	42	37	24	8	14	41	48	3	1	36	21	28	37	41	47	8	26	49	24	5	20	5	33	36	19	24	3	41	10	2	45	34	8	8	44	29	13	27	10	23	16	20	46	28	47	34	5	19	10	35	48	17	42	29	14	9	48	
47	5	13	38	38	27	11	25	44	17	4	18	46	32	43	1	47	33	12	43	6	12	34	36	20	13	29	30	13	27	3	19	6	30	11	43	1	22	22	43	31	1	12	33	43	8	3	13	37	3	47	14	40	33	2	26	49	5	23	10	13	20	29	32	2	38	34	31	9	21	28	11	14	30	2	5	36	32	18	15	2	2	28	7	42	18	38	28	49	44	48	15	36	23	39	28	20	41	46	9	
26	19	5	26	44	19	4	12	46	41	8	47	3	27	28	34	19	30	7	38	46	36	6	23	39	28	47	3	6	35	13	16	27	19	38	16	36	17	7	35	48	16	49	42	18	13	27	20	10	39	25	44	34	14	21	7	11	36	16	33	14	44	33	10	26	2	29	16	44	25	18	29	5	34	1	34	5	18	21	28	41	35	47	46	17	14	46	49	39	9	12	7	21	40	26	48	38	5	45	42	
